subjectID	set	memorisation	flip	block	visibility	category	rt	acc	catacc	keys	catkeys	catRTs	section
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
P01	set1	memorisation_1	flip	block7	box 	1	0.724	0	0	40	0	0.000	studyphase
